task_id,subtask_id,fragment,locator,allowlist,blocklist,depends_on
P0001,,sources/piece-01/score.mei,measure-zones,,,
P0001,S0001,sources/piece-01/score.mei,measure-zones,,,
T0001,,sources/piece-01/score.mei,surface-1,,,P0001
T0001,S0001,sources/piece-01/score.mei,surface-1,,,
T0002,,sources/piece-01/score.mei,surface-2,,,P0001
T0002,S0001,sources/piece-01/score.mei,surface-2,,,
T0003,,sources/piece-01/score.mei,surface-3,,,P0001
T0003,S0001,sources/piece-01/score.mei,surface-3,,,
T0004,,sources/piece-01/score.mei,surface-4,,,P0001
T0004,S0001,sources/piece-01/score.mei,surface-4,,,
P0002,,sources/piece-02/score.mei,measure-zones,,,
P0002,S0001,sources/piece-02/score.mei,measure-zones,,,
T0005,,sources/piece-02/score.mei,surface-1,,,P0002
T0005,S0001,sources/piece-02/score.mei,surface-1,,,
T0006,,sources/piece-02/score.mei,surface-2,,,P0002
T0006,S0001,sources/piece-02/score.mei,surface-2,,,
T0007,,sources/piece-02/score.mei,surface-3,,,P0002
T0007,S0001,sources/piece-02/score.mei,surface-3,,,
T0008,,sources/piece-02/score.mei,surface-4,,,P0002
T0008,S0001,sources/piece-02/score.mei,surface-4,,,
